date	close
1-Jan-10	9.1367
1-Apr-10	10.727
1-Jul-10	12.594
1-Oct-10	15.27
1-Jan-11	16.5
1-Apr-11	19.58
1-Jul-11	22.3
1-Oct-11	24.9
1-Jan-12	27.385
1-Apr-12	32.65
1-Jul-12	27.39
1-Oct-12	24.91
