	date	Upside	Downside	Consensus								
180	20121116	17.32	17.32	17.32								
181	20121119	18.8	18.8	18.8								
182	20121120	18.81	18.81	18.81								
183	20121121	18.71	18.71	18.71								
184	20121123	18.98	18.98	18.98								
185	20121126	18.99	18.99	18.99								
186	20121127	20.24	20.24	20.24								
187	20121128	20.2	20.2	20.2								
188	20121129	19.45	19.45	19.45								
189	20121130	18.91	18.91	18.91								
190	20121203	19.27	19.27	19.27								
191	20121204	19.05	19.05	19.05								
192	20121205	18.84	18.84	18.84								
193	20121206	18.09	18.09	18.09								
194	20121207	19.05	19.05	19.05								
195	20121210	18.82	18.82	18.82								
196	20121211	19.3	19.3	19.3								
197	20121212	19.62	19.62	19.62								
198	20121213	19.66	19.66	19.66								
199	20121214	19.46	19.46	19.46								
200	20121217	18.93	18.93	18.93								
201	20121218	18.06	18.06	18.06								
202	20121219	18.45	18.45	18.45								
203	20121220	18.91	18.91	18.91								
204	20121221	19	19	19								
205	20121224	18.44	18.44	18.44								
206	20121226	18.63	18.63	18.63								
207	20121227	18.83	18.83	18.83								
208	20121228	18.87	18.87	18.87								
209	20121231	18.85	18.85	18.85								
210	20130102	19.7	19.7	19.7								
211	20130103	20.15	20.15	20.15								
212	20130104	21.52	21.52	21.52								
213	20130107	21.08	21.08	21.08								
214	20130108	20.83	20.83	20.83								
215	20130109	20.76	20.76	20.76								
216	20130110	22.19	22.19	22.19								
217	20130111	22.12	22.12	22.12								
218	20130114	21.97	21.97	21.97								
219	20130115	20.61	20.61	20.61								
220	20130116	20.36	20.36	20.36								
221	20130117	20.27	20.27	20.27								
222	20130118	20.3	20.3	20.3								
223	20130122	19.9	19.9	19.9								
224	20130123	20.34	20.34	20.34								
225	20130124	20.83	20.83	20.83								
226	20130125	21.17	21.17	21.17								
227	20130128	21.03	21.03	21.03								
228	20130129	20.84	20.84	20.84								
229	20130130	20.46	20.46	20.46								
230	20130131	21.24	21.24	21.24								
231	20130201	20.47	20.47	20.47								
232	20130204	20.34	20.34	20.34								
233	20130205	21.18	21.18	21.18								
234	20130206	22.38	22.38	22.38								
235	20130207	21.35	21.35	21.35								
236	20130208	21.85	21.85	21.85								
237	20130211	21.63	21.63	21.63								
238	20130212	21.66	21.66	21.66								
239	20130213	21.79	21.79	21.79								
240	20130214	21.44	21.44	21.44								
241	20130215	21.96	21.96	21.96								
242	20130219	21.88	21.88	21.88								
243	20130220	21.89	21.89	21.89								
244	20130221	22	22	22								
245	20130222	22.18	22.18	22.18								
246	20130422	18.7	15.725	17								
247	20130622	25.3	21.275	23								
248	20130822	31.9	26.825	29								
249	20131022	39.6	33.3	36								
250	20131222	44	37	40								
251	20140222	37.4	31.45	34								
252	20140422	28.6	24.05	26								
253	20140622	22	18.5	20								
